* This is an example file. Remove this row and edit values,,,
Stage_avg,Q_model,Max_CI,Min_CI
29.6,0,0,0
184,31.82910641,33.42056173,30.23765109
185,32.3044282,33.91964961,30.68920679
186,32.78381212,34.42300273,31.14462151
187,33.26727076,34.9306343,31.60390722
188,33.75481668,35.44255751,32.06707585
189,34.24646243,35.95878555,32.53413931
190,34.74222051,36.47933154,33.00510948
191,35.24210341,37.00420858,33.47999824
192,35.74612358,37.53342976,33.9588174
193,36.25429344,38.06700811,34.44157877
194,36.7666254,38.60495667,34.92829413
195,37.28313182,39.14728841,35.41897523
196,37.80382506,39.69401631,35.91363381
197,38.32871742,40.24515329,36.41228155
198,38.85782121,40.80071227,36.91493015
199,39.39114867,41.3607061,37.42159124
200,39.92871206,41.92514766,37.93227646
201,40.47052357,42.49404975,38.44699739
202,41.0165954,43.06742517,38.96576563
203,41.56693972,43.64528671,39.48859273
204,42.12156864,44.22764707,40.01549021
205,42.68049428,44.81451899,40.54646957
206,43.24372872,45.40591516,41.08154228
207,43.81128403,46.00184823,41.62071983
208,44.38317223,46.60233084,42.16401362
209,44.95940534,47.20737561,42.71143507
210,45.53999533,47.8169951,43.26299556
211,46.12495418,48.43120189,43.81870647
212,46.71429381,49.0500085,44.37857912
213,47.30802613,49.67342744,44.94262482
214,47.90616304,50.30147119,45.51085489
215,48.5087164,50.93415222,46.08328058
216,49.11569804,51.57148294,46.65991314
217,49.72711979,52.21347578,47.2407638
218,50.34299344,52.86014311,47.82584377
