* This is an example file. Remove this row and edit values,,,
Stage_avg,Q_model,Max_CI,Min_CI
29.6,0,0,0
184,35.22910641,36.99056173,33.46765109
185,35.7044282,37.48964961,33.91920679
186,36.18381212,37.99300273,34.37462151
187,36.66727076,38.5006343,34.83390722
188,37.15481668,39.01255751,35.29707585
189,37.64646243,39.52878555,35.76413931
190,38.14222051,40.04933154,36.23510948
191,38.64210341,40.57420858,36.70999824
192,39.14612358,41.10342976,37.1888174
193,39.65429344,41.63700811,37.67157877
194,40.1666254,42.17495667,38.15829413
195,40.68313182,42.71728841,38.64897523
196,41.20382506,43.26401631,39.14363381
197,41.72871742,43.81515329,39.64228155
198,42.25782121,44.37071227,40.14493015
199,42.79114867,44.9307061,40.65159124
200,43.32871206,45.49514766,41.16227646
201,43.87052357,46.06404975,41.67699739
202,44.4165954,46.63742517,42.19576563
203,44.96693972,47.21528671,42.71859273
204,45.52156864,47.79764707,43.24549021
205,46.08049428,48.38451899,43.77646957
206,46.64372872,48.97591516,44.31154228
207,47.21128403,49.57184823,44.85071983
208,47.78317223,50.17233084,45.39401362
209,48.35940534,50.77737561,45.94143507
210,48.93999533,51.3869951,46.49299556
211,49.52495418,52.00120189,47.04870647
212,50.11429381,52.6200085,47.60857912
213,50.70802613,53.24342744,48.17262482
214,51.30616304,53.87147119,48.74085489
215,51.9087164,54.50415222,49.31328058
216,52.51569804,55.14148294,49.88991314
217,53.12711979,55.78347578,50.4707638
218,53.74299344,56.43014311,51.05584377
